Марка,Модель,Кузов,Расход,Цена
Audi,A3,Седан,7.40,1600554
Audi,A4,Седан,8.20,1826077
Audi,A5,Седан,8.40,2614648
Audi,A6,Седан,8.60,4867322
Audi,A7,Седан,9.00,4771097
Audi,A8,Седан,10.00,6668199
Audi,A4,Универсал,8.60,2768522
Audi,A5,Купе,8.00,2891344
Audi,Q3,Внедорожник,10.60,2177561
Audi,Q5,Внедорожник,11.40,2692666
Audi,Q7,Внедорожник,12.20,4573530
Audi,Q8,Внедорожник,14.00,5657916
Audi,RS4,Внедорожник,15.00,6402759
Audi,RS7,Внедорожник,17.00,8447827
Cadilac,CT6,Седан,9.00,5125000
Cadilac,Escalade,Внедорожник,18.70,5650000
Cadilac,XT5,Внедорожник,14.80,4000000
Ford,Fiestа,Седан,6.70,860000
Ford,Focus,Седан,6.90,887000
Ford,Mondeo,Седан,8.20,1400000
Ford,Fiestа,Хэтчбек,6.50,770000
Ford,Focus,Хэтчбек,6.90,937000
Ford,Focus,Универсал,7.30,965000
Ford,EcoSport,Внедорожник,8.00,1035000
Ford,Kuga,Внедорожник,7.90,1320000
Ford,Explorer,Внедорожник,11.00,2595000
Genesis,G70,Седан,9.50,2039000
Genesis,G80,Седан,10.40,2510000
Genesis,G90,Седан,12.00,4775000
Hyundai,Solaris,Седан,6.50,540000
Hyundai,Elantra,Седан,7.00,1090000
Hyundai,Sonata,Седан,8.00,1179000
Hyundai,Creta,Внедорожник,7.70,787000
Hyundai,Tucson,Внедорожник,7.60,1449000
Hyundai,Santa Fe,Внедорожник,8.70,2200000
Infiniti,Q60,Купе,9.30,3390000
Mercedes-Benz,C-Класс,Купе,8.50,2749000
BMW,M2,Купе,9.80,3869000
BMW,4 серия,Купе,7.10,2431000
Porsche,718 Boxster,Кабриолет,8.10,5737458
Bmw,i8,Кабриолет,0.00,11500000
renault,Dokker,Минивэн,7.80,840990
